"CityName","v.mean","PopAll21","CitySize","RoadLength","BusStation","MobilityIndex"
"shenzhen",1.66320059397836,1768.16,1997.47,7325.94915117758,6280,5.7210237704918
"shenzhen",1.86489865384996,1768.16,1997.47,7325.94915117758,6280,5.7210237704918
"wuhan",1.87102495196293,1364.89,8569.15,11421.8240998305,8064,6.48922459016393
"shenzhen",2.02852596394507,1768.16,1997.47,7325.94915117758,6280,5.7210237704918
"beijing",3.03919259989418,2188.6,16411,23177.2554810695,14872,6.6960631147541
"taiyuan",3.37417754867635,539.1,6988,5559.78783619259,2151,6.72611229508197
"guiyang",3.74523428199091,610.23,8043.45,6296.79592155541,1697,6.28550737704918
"nanchong",3.81246819362584,556.2,12482,6995.24435495357,994,6.2408237704918
"wuxi",3.84590328710906,747.95,4627.47,9105.23827934408,2731,7.67462786885246
"suzhou",4.07974210901153,1284.78,8657.32,18648.5084830457,6839,7.74892786885246
"shantou",4.81995270346486,577.65,2204.2,3207.41937056197,1607,5.50800409836066
"guangzhou",5.03857070661972,1881.06,7434.4,11917.5786428965,9285,5.78703606557377
"nanjing",5.24134686556269,942.34,6587.04,11076.0934874567,7461,7.26388442622951
"yingkou",5.61281252351648,231.2,5402,2692.66535402966,1164,7.41152213114754
"tianjin",8.82394603738272,1373,11966.45,18220.5943921471,7319,7.28784262295082
"beijing",8.99094189740982,2188.6,16411,23177.2554810695,14872,6.6960631147541
"shenzhen",11.0145107940115,1768.16,1997.47,7325.94915117758,6280,5.7210237704918
"harbin",11.3473244353529,988.5,10198,15666.0887745647,3489,6.71643114754098
"shanghai",11.3556057163849,2489.43,6340.5,17231.5098410116,15533,7.0159393442623
"taiyuan",11.8620270233614,539.1,6988,5559.78783619259,2151,6.72611229508197
"taiyuan",12.0614969718456,539.1,6988,5559.78783619259,2151,6.72611229508197
"suining",12.1538428718313,278.2,5323,3534.7449421545,577,6.25518442622951
"tianjin",12.4955425047737,1373,11966.45,18220.5943921471,7319,7.28784262295082
"harbin",12.6344453019377,988.5,10198,15666.0887745647,3489,6.71643114754098
"maoming",13.0931115403185,621.97,11427,8136.66049347165,1627,6.1382262295082
"tianjin",14.7970858774585,1373,11966.45,18220.5943921471,7319,7.28784262295082
"wuhan",27.151786471253,1364.89,8569.15,11421.8240998305,8064,6.48922459016393
"quanzhou",32.1371133702223,771.27,11295.2,9038.46889433969,4104,6.00642786885246
"yingkou",33.4198754130665,231.2,5402,2692.66535402966,1164,7.41152213114754
"tianjin",40.8340370076589,1373,11966.45,18220.5943921471,7319,7.28784262295082
"harbin",42.7640571540558,988.5,10198,15666.0887745647,3489,6.71643114754098
"guangzhou",57.1310496874918,1881.06,7434.4,11917.5786428965,9285,5.78703606557377
"tianjin",66.7421192812631,1373,11966.45,18220.5943921471,7319,7.28784262295082
"chengdu",72.9992823219803,2119.2,14335,19293.5716511688,12247,6.72272540983607
